,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
32,32,128.8,2022-06-21 12:46:06.136834,2022-06-21 12:46:11.914964,0 days 00:00:05.778130,tanh,8,0.00048276906750088625,1.5723162769256587,timy,0.9995172309324991,256,PRUNED
33,33,85.6,2022-06-21 12:46:11.917361,2022-06-21 12:46:17.313873,0 days 00:00:05.396512,tanh,10,0.00018127102018269332,0.9087339040147373,timy,0.9998187289798173,1024,PRUNED
34,34,88.2,2022-06-21 12:46:17.316658,2022-06-21 12:46:22.803143,0 days 00:00:05.486485,tanh,9,0.00042325177956808676,0.44759917049843284,timy,0.999576748220432,512,PRUNED
35,35,500.0,2022-06-21 12:46:22.809838,2022-06-21 12:46:34.746373,0 days 00:00:11.936535,tanh,7,0.0007846396463008333,0.716867124891602,timy,0.9992153603536992,128,COMPLETE
36,36,192.8,2022-06-21 12:46:34.749304,2022-06-21 12:46:41.803053,0 days 00:00:07.053749,tanh,4,0.0008644549253097964,0.31238021197184535,timy,0.9991355450746902,16,PRUNED
37,37,500.0,2022-06-21 12:46:41.807097,2022-06-21 12:46:54.406446,0 days 00:00:12.599349,relu,6,0.007788777445100236,0.6304941639817605,small,0.9922112225548998,64,COMPLETE
38,38,500.0,2022-06-21 12:46:54.408528,2022-06-21 12:47:07.058195,0 days 00:00:12.649667,relu,6,0.008857840985872884,0.7410196325789227,timy,0.9911421590141272,64,COMPLETE
39,39,297.8,2022-06-21 12:47:07.060473,2022-06-21 12:47:13.322126,0 days 00:00:06.261653,relu,7,0.008349909227525317,0.7606991557624876,timy,0.9916500907724747,128,PRUNED
40,40,15.8,2022-06-21 12:47:13.327628,2022-06-21 12:47:19.493225,0 days 00:00:06.165597,relu,5,0.01456406734539431,0.6527009606725062,small,0.9854359326546057,32,PRUNED
41,41,109.2,2022-06-21 12:47:19.498197,2022-06-21 12:47:25.518241,0 days 00:00:06.020044,relu,6,0.00623682594854946,0.552521785345437,timy,0.9937631740514505,64,PRUNED
42,42,267.6,2022-06-21 12:47:25.523353,2022-06-21 12:47:31.595121,0 days 00:00:06.071768,relu,6,0.003208600833176335,0.8255651056803879,timy,0.9967913991668237,64,PRUNED
